Traits,Nu_Amostras
Body massg,60578
Body length (mm),29189
Wing length (mm),19683
Wing length left (mm),3432
Wing length right (mm),21996
Wing length left open (mm),630
Wing length right open (mm),640
Wing span (mm),3
Tail length (mm),44496
Tail length left (mm),0
Tail length right (mm),76
Tarsus length (mm),21481
Tarsus length left (mm),5617
Tarsus length right (mm),17198
Tarsus diam (mm),3091
Bill length (mm),39488
Bill length nostril (mm),8135
Bill depth (mm),17501
Bill depth base (mm),1343
Bill depth nostril (mm),163
Bill width (mm),18107
Bill width base (mm),1340
Bill width nostril (mm),0
